SI. No,Company Name/CTC IN LPA/Date of drive,EC,CS,IS,EI,EE,MECH,AUTO,IP,CIVIL,Total
1,Persistent Systems/5,0,01,0,0,0,0,0,0,0,0,01
2,Wolken Software Pvt Ltd/4.5,01,0,01,0,0,0,0,0,0,0,02
3,Creators Technology Solutions/3,04,05,02,0,05,0,0,0,0,0,16
4,Hexaware Technologies/3.5,0,0,0,0,01,0,0,0,0,0,01
5,Surya Software/5,01,01,01,0,0,0,0,0,0,0,03
6,Capgemini/4.5,06,0,05,03,01,0,0,0,0,0,15
7,TCS (Code-vita)/3.5,0,0,01,0,0,0,0,0,0,0,01
8,Accenture/4,10,12,09,01,02,02,0,0,0,0,36
9,MBRDI/8,01,04,03,0,0,02,01,01,0,0,12
10,RAKUTEN/7,0,0,01,0,0,0,0,0,0,0,01
11,TCS/3.5,11,07,02,01,04,02,0,0,0,0,27

